tailnum,sum,,,,"SELECT b.tailnum, SUM(CAST(a.air_time AS INTEGER))"
N12924,115,,,,
N609DL,115,,,,
N8315C,115,,,,
N899AT,115,,,,
N716SW,115,,,,
N963WN,115,,,,
N479WN,115,,,,
N938WN,115,,,,
N8322X,114,,,,
N8309C,114,,,,
N529UA,114,,,,
N236WN,114,,,,
N480AA,114,,,,
N8974C,113,,,,
N422UA,113,,,,
N299WN,113,,,,
N411UA,112,,,,
N702UW,111,,,,
N460UA,111,,,,
N8432A,111,,,,
N11535,111,,,,
N7726A,111,,,,
N951AT,111,,,,
N188US,110,,,,
N903XJ,110,,,,
N405UA,110,,,,
N764US,110,,,,
N321NB,110,,,,
N635DL,110,,,,
N272WN,110,,,,
N17138,109,,,,
N8884E,109,,,,
N16954,109,,,,
N13956,109,,,,
N538UW,109,,,,
N920DL,108,,,,
N835AY,108,,,,
N829AY,108,,,,
N835MH,107,,,,
N537UW,106,,,,
N8894A,106,,,,
N460UW,106,,,,
N8506C,105,,,,
N998DL,105,,,,
N820AY,104,,,,
N825AS,104,,,,
N171US,103,,,,
N196UW,103,,,,
N8948B,102,,,,
N11193,101,,,,
N723UW,100,,,,
N449US,99,,,,
N954DL,99,,,,
N197UW,99,,,,
N767UW,98,,,,
N8886A,98,,,,
N827AS,98,,,,
N12900,98,,,,
N712US,97,,,,
N830AS,97,,,,
N710UW,96,,,,
N655AW,96,,,,
N749US,95,,,,
N613DL,95,,,,
N373NW,95,,,,
N8794B,95,,,,
N103US,94,,,,
N25134,94,,,,
N21154,93,,,,
N758US,93,,,,
N8828D,93,,,,
N658AW,92,,,,
N174US,92,,,,
N561UW,92,,,,
N173US,92,,,,
N668AW,91,,,,
N8936A,91,,,,
N8747B,91,,,,
N178US,91,,,,
N752EV,90,,,,
N737US,90,,,,
N974DL,90,,,,
N179UW,90,,,,
N192UW,90,,,,
N406US,89,,,,
N163US,89,,,,
N167US,89,,,,
N769US,89,,,,
N675AW,88,,,,
N176UW,88,,,,
N8943A,88,,,,
N13997,88,,,,
N756US,88,,,,
N338NB,88,,,,
N841AY,87,,,,
N14907,87,,,,
N170US,87,,,,
N763US,87,,,,
N832AS,87,,,,
N38443,87,,,,
N430US,86,,,,
N8980A,86,,,,
N344NW,86,,,,
N317JB,85,,,,
N554UW,85,,,,
N187PQ,85,,,,
N911DL,84,,,,
N433US,84,,,,
N730US,84,,,,
N420US,84,,,,
N600QX,84,,,,
N721UW,83,,,,
N355NW,82,,,,
N720EV,82,,,,
N932AT,82,,,,
N11194,81,,,,
N8903A,81,,,,
N602XJ,81,,,,
N11119,80,,,,
N783SW,77,,,,
N948UW,77,,,,
N826AY,74,,,,
N8968E,74,,,,
N965AT,73,,,,
N14180,73,,,,
N8515F,72,,,,
N351JB,72,,,,
N15710,71,,,,
N761ND,69,,,,
N12967,69,,,,
N8869B,68,,,,
N998AT,67,,,,
N24103,67,,,,
N948AT,67,,,,
N915AT,66,,,,
N8631E,66,,,,
N894AT,66,,,,
N839AY,64,,,,
N937XJ,62,,,,
N14570,60,,,,
N8475B,60,,,,
N820AS,59,,,,
N615QX,57,,,,
N8940E,56,,,,
N8674A,56,,,,
N13995,56,,,,
N511MJ,55,,,,
N8390A,54,,,,
N829AS,53,,,,
N826AS,53,,,,
N18102,52,,,,
N13908,51,,,,
N8932C,50,,,,
N712EV,50,,,,
N14177,49,,,,
N960WN,48,,,,
N509MJ,47,,,,
N508MJ,47,,,,
N513MJ,46,,,,
N266WN,46,,,,
N12145,44,,,,
N24128,43,,,,
N834AS,43,,,,
N505SW,43,,,,
N447WN,43,,,,
N37293,43,,,,
N7735A,42,,,,
N449WN,42,,,,
N961WN,42,,,,
N190JB,42,,,,
N8598B,41,,,,
N37253,41,,,,
N257WN,41,,,,
N785SW,40,,,,
N233LV,40,,,,
N273WN,40,,,,
N27239,39,,,,
N8672A,38,,,,
N429WN,38,,,,
N700GS,38,,,,
N359SW,38,,,,
N646SW,38,,,,
N15973,37,,,,
N472WN,37,,,,
N534UA,37,,,,
N16559,37,,,,
N14923,37,,,,
N357SW,37,,,,
N461WN,36,,,,
N701GS,35,,,,
N619SW,35,,,,
N7714B,34,,,,
N214WN,34,,,,
N251WN,34,,,,
N14203,33,,,,
N959UW,32,,,,
N836AY,30,,,,
N8659B,28,,,,
N8751D,27,,,,
N8877A,27,,,,
N8921B,26,,,,
